product_id,title,description,category_id,brand_id,link,image_link,price,discounted_price,availability,availability_date,stock_count,parent_id,trans_title,product_vendor,category_path,brand,mobile_web_link,android_deep_link,ios_deep_link,small_image_link,large_image_link,is_active,product_special_code,store_name,legacy_resource_id,publish_date
L16M4PB0-ORG,"Techie Compatible Battery for Lenovo L16M4PB0 - LEGION Y720-15IKB Series Laptops (3910mAh, 4-Cell)",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=L16M4PB0-ORG,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/l16m4pb0-org.jpg,5999,4999,in stock,,,,,,Laptop Battery,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/l16m4pb0-org.jpg,,1,,Dengage eComm Demo,,
BTY-M492-BLACK-CONNECTOR-ORG,"Techie Compatible Battery for MSI BTY-M492 - KATANA GF66, GF76, 15 B13VFK, CYBORG 14 A13VE Series Laptops (4700mAh, 4-Ce",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=BTY-M492-BLACK-CONNECTOR-ORG,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/bty-m492-black-connector-org.jpg,4999,4299,in stock,,,,,,Laptop Battery,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/bty-m492-black-connector-org.jpg,,1,,Dengage eComm Demo,,
L21C3P72,"Techie Compatible Battery for Lenovo L21C3P72 - Thinkpad Z13 Gen 1 Series Laptops (3000mAh, 3-Cell)",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=L21C3P72,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/l21c3p72.jpg,4999,4299,in stock,,,,,,Laptop Battery,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/l21c3p72.jpg,,1,,Dengage eComm Demo,,
L21M4PE3,"Techie Compatible Battery for Lenovo L21M4PE3- YOGA 7 141AL7, YOGA 7 14ARB7, YOGA 7 14IAL7 Series Laptops (4350mAh, 4-Ce",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=L21M4PE3,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/l21m4pe3.jpg,4999,4499,in stock,,,,,,Laptop Battery,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/l21m4pe3.jpg,,1,,Dengage eComm Demo,,
G3HTA038H,"Techie Compatible Battery for Microsoft G3HTA038H- Surface Pro 5 1796, Pro 6 1807, Pro 6 1809 Series Laptops (5400mAh, 4",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=G3HTA038H,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/g3hta038h.jpg,4999,3999,in stock,,,,,,Laptop Battery,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/g3hta038h.jpg,,1,,Dengage eComm Demo,,
IMPULSE-WHITE-GREEN,Techie Impulse Green Wireless Rechargeable Mouse | Ergonomic | Adjustable DPI 1000-1600 | 6-Button,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=IMPULSE-WHITE-GREEN,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/impulse-white-green.jpg,799,599,in stock,,,,,,Mouse,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/impulse-white-green.jpg,,1,,Dengage eComm Demo,,
IMPULSE-GREY,Techie Impulse Grey Wireless Rechargeable Mouse | Ergonomic | Adjustable DPI 1000-1600 | 6-Button,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=IMPULSE-GREY,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/impulse-grey.jpg,799,599,in stock,,,,,,Mouse,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/impulse-grey.jpg,,1,,Dengage eComm Demo,,
EASE,Techie Ease White Wireless Mouse | 2x Bluetooth & 2.4GHz | Adjustable DPI 1000-1600 | 6-Button,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=EASE,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/ease.jpg,799,499,in stock,,,,,,Mouse,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/ease.jpg,,1,,Dengage eComm Demo,,
CLOUD,Techie Cloud White Wireless Mouse | 2.4GHz Nano USB | Adjustable DPI 1000-1600 | Ergonomic,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=CLOUD,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/cloud.jpg,499,349,in stock,,,,,,Mouse,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/cloud.jpg,,1,,Dengage eComm Demo,,
IMPULSE-BLACK,Techie Impulse Black Wireless Rechargeable Mouse | Ergonomic | Adjustable DPI 1000-1600 | 6-Button,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=IMPULSE-BLACK,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/impulse-black.jpg,799,599,in stock,,,,,,Mouse,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/impulse-black.jpg,,1,,Dengage eComm Demo,,
AMBER,Techie Amber Wireless Mouse - Engineered for the Battery-less Future | 3-Device | USB-C,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=AMBER,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/amber.jpg,1999,1499,in stock,,,,,,Mouse,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/amber.jpg,,1,,Dengage eComm Demo,,
BREEZE,Techie Breeze Wireless Mouse | 2.4GHz | 4D Ergonomic | DPI 800-1600 | 10m Range,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=BREEZE,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/breeze.jpg,1299,399,in stock,,,,,,Mouse,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/breeze.jpg,,1,,Dengage eComm Demo,,
TSS1.5,Techie SnapStand 240W Charging Cable with Built-in Stand,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=TSS1.5,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/tss1-5.jpg,1499,499,in stock,,,,,,More,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/tss1-5.jpg,,1,,Dengage eComm Demo,,
C21N1618,"Techie Battery for Asus C21N1618, VivoBook X402BP, R417BA, L402BP, E402BA, L402BA, F402BA, R417BP Series Laptops (4100mA",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=C21N1618,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/c21n1618.jpg,3999,3499,in stock,,,,,,More,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/c21n1618.jpg,,1,,Dengage eComm Demo,,
COSMO,Techie Cosmo Wired RGB Gaming Mouse | 7-Color LED | Adjustable DPI 1200-3600 | 1.5m Braided Cable,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=COSMO,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/cosmo.jpg,1299,749,in stock,,,,,,More,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/cosmo.jpg,,1,,Dengage eComm Demo,,
KB15P-W,Techie Laptop Keyboard For HP Pavilion 15-P Series White,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=KB15P-W,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kb15p-w.jpg,1499,1199,in stock,,,,,,More,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kb15p-w.jpg,,1,,Dengage eComm Demo,,
KB15-FA-BKL-ORG,"Techie Laptop Keyboard for HP Victus 15-FA, 16-R, 16-E, 16-D, 15-FB Series with Backlight",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=KB15-FA-BKL-ORG,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kb15-fa-bkl-org.jpg,3999,3499,in stock,,,,,,More,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kb15-fa-bkl-org.jpg,,1,,Dengage eComm Demo,,
TLPC-1,Techie Laptop Power Cord 1.2M | Universal 3-Pin Cable | 18 AWG,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=TLPC-1,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/tlpc-1.jpg,399,199,in stock,,,,,,More,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/tlpc-1.jpg,,1,,Dengage eComm Demo,,
TDPC-1,"Techie Desktop Power Cord 1.2M | 18 AWG 3-Pin IEC C13 Cable | Works with PC, Monitor, TV, Printer & More",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=TDPC-1,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/tdpc-1.jpg,499,299,in stock,,,,,,More,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/tdpc-1.jpg,,1,,Dengage eComm Demo,,
KB650-G5,"Techie Laptop Keyboard for HP Probook 450 G5, 455 G5, 470 G5, 650 G4/G5 Series with Frame",,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/product.html?id=KB650-G5,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kb650-g5.jpg,999,699,in stock,,,,,,More,,,,,https://dengage-presales.github.io/demo-ai/demos/techiestore-in/images/kb650-g5.jpg,,1,,Dengage eComm Demo,,
